"code","song_code","artist","title","year","genre","subgenre","tempo (BPM)","key","energetics","instrumentation_groups","instrumentation","language","explicit_new","lyrics timeframe","timestamp_start","timestamp_end","duration_sec","url_excerpt"
"H_WhySLKnowPlug_RiteBac","H105","Why SL Know Plug","Rite Back","2016","Hip-Hop/Rap","Deutschrap, Trap, Underground","99",NA,"mittel-hoch","instrumental + vocal",NA,"de","yes","Hitta, ich hab' Guap (Guap) \n Coppe mir 'ne Bean, sippin' on mud (ey!) \n Diamonds sind bright (bling!), Drink ist so muddy (whoo!) \n Jewelry am kicken, ähnlich wie Karate (haya!) \n Ich bin in der Trap (Trap), so wie Yo Gotti (Gotti) \n We don't need to talk if it ain't about the money (at all!) \n Ey, pull' up in dem brand new Audi R8 \n Guck' in meinen Kleiderschrank, I got a lot of that Bape(huh) \n Got a lot of money like I hit the lottery, Bae (ey!) \n Das hier ist mein Album, Bae, and not another Mixtape (whoo!) \n Ey, trappen ist mein Hobby, got a lot of that Versace \n Komm' im Rarri zu der Party und ich fucke deine Thottie (huh)","00:00:29","00:00:59",30,"https://www.youtube.com/embed/wIPZKYu5T2o?start=29&end=59&autoplay=1"
"H_WizKhalifa_YoungW","H104","Wiz Khalifa feat. Snoop Dogg","Young, Wild & Free","2011","Hip-Hop/Rap","Pop","95",NA,"niedrig","instrumental + vocal",NA,"en",NA,"Give me some 501 jeans on it \n Roll joints bigger than King Kong's fingers \n And smoke them hoes down 'til they stingers \n You a class clown and if I skip for the day \n I'm with your bitch smokin' grade A \n You know what \n It's like I'm seventeen again \n Peach fuzz on my face \n Lookin', on the case \n Tryna find a hella taste \n Oh my god, I'm on the chase, Chevy \n It's gettin' kinda heavy, relevant, sellin' it \n Dippin' away, time keeps slippin' away \n Zip in the safe, flippin' for pay \n Tippin' like I'm drippin' in paint \n Up front, four blunts, like, ""Khalifa put the weed in a J"" \n So what we get drunk \n So what we smoke weed \n We're just having fun","00:01:19","00:01:58",39,NA
"H_Wu-TangClan_DaMyste","H050","Wu-Tang Clan","Da Mystery Of Chessboxin'","1993","Hip-Hop/Rap","Gangsta Rap","105",NA,"mittel-hoch","instrumental + vocal",NA,"en","yes","Raw I'ma give it to ya, with no trivia \n Raw like cocaine straight from Bolivia \n My hip-hop will rock and shock the nation \n Like the Emancipation Proclamation \n Weak MC's approach with slang that's dead \n You might as well run into the wall and bang your head \n I'm pushing force, my force you're doubting \n I'm making devils cower to the Caucus Mountains \n Well I'm a sire, I set the microphone on fire \n Rap styles vary, and carry like Mariah \n I come from the Shaolin slum, and the isle I'm from \n Is coming through with nuff niggas, and nuff guns \n So if you wanna come sweating, stressing contesting \n You'll catch a sharp sword to the midsection \n Don't talk the talk, if you can't walk the walk \n Phony niggas are outlined in chalk","00:00:18","00:00:56",38,"https://www.youtube.com/embed/pJk0p-98Xzc?start=18&end=56&autoplay=1"
"H_Xatar_MeineGr","H005","Xatar","Meine Große Liebe","2015","Hip-Hop/Rap","Deutschrap","86",NA,"mittel","instrumental + vocal",NA,"de","yes","ch war zu jung, ums zu raffen \n Denn kaum war Haschkrise wolltest du mich verlassen \n Du machtest rum mit meinen Freunden im Viertel \n Maroks, Kurden, Deutschen und Türken \n Und mit der Zeit entwickelte ich Hass für dich \n Weil du Nutte hast paar Freunde in den Knast geschickt \n Obwohl sie für dich kämpften, du miese Schlampe \n Ich werd' dich nur verschwenden, wenn ich dich habe \n Sarah \n Sarah, du undankbare Sharmuta \n Was hab ich alles getan, um dich zu erobern \n Ethanol-Dämpfe, durch Jayj-Waschprozesse \n Tagelang kochen, atemkrank für Wochen \n Sarah, du undankbare Sharmuta \n Was hab ich alles getan, um dich zu erobern","00:02:15","00:02:52",37,"https://www.youtube.com/embed/uIgjm4IVCsM?start=135&end=172&autoplay=1"
"H_YungHurnAndRIN_Bianco","H074","Yung Hurn & RIN","Bianco","2016","Hip-Hop/Rap","Hip-Hop/Rap","140 halftime",NA,"langsam-schnell","instrumental + vocal",NA,"de",NA,"bianco \n Brudi, du weißt, Brudi, du weißt, Brudi, du weißt \n Die Scheiße ist weiß \n Mein Handy ist weiß \n Mein Igel ist weiß \n Die Schuhe sind weiß \n Mein Baby ist weiß \n Coco bello am Tisch \n Zebrasteifen am Tisch \n Roll den Schein oder nicht \n Und wenn ja, Baby, zieh \n Und sie zieht, zieht, zieht, zieht, zieht, zieht, Baby \n Ich lieb' dich, weil Babe, du machst mich crazy \n Der Scheiß ist weiß \n Bianco","00:01:05","00:01:40",35,"https://www.youtube.com/embed/gMrH_UdPrY8?start=65&end=100&autoplay=1"
"K_Albinoni_Concert","K044","Albinoni","Concerto a cinque No. 2, Op. 9","1722","Klassik","Barock","142","Dbm","niedrig-mittel","instrumental","Instrumental, Ensemble",NA,NA,NA,"00:00:00","00:00:49",49,"https://www.youtube.com/embed/LjgndGuy77o?start=0&end=49&autoplay=1"
"K_Alfven_Midsomm","K004","Alfvén","Midsommarvaka","1903","Klassik","Romantik","141","D",NA,"instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"K_Bach_Branden","K112","Bach","Brandenburgische Konzerte","1721","Klassik","Klassik","137","Dm","hoch","instrumental","Instrumental, Orchester",NA,NA,NA,"00:22:00","00:22:46",46,"https://youtu.be/hbQORqkStpk?t=22m"
"K_Bartholdy_Sommern","K001","Bartholdy","Sommernachtstraum","1826","Klassik","Romantik","152","C","hoch","instrumental","Instrumental, Orchester",NA,NA,NA,"00:17:00","00:17:41",41,"https://youtu.be/QbSD_vxsZFI?t=17m"
"K_Bartok_PianoSo","K005","Bartok","Piano Sonata BB 88 (Sz. 80)","1926","Klassik","Expressionismus",NA,NA,NA,"instrumental + vocal",NA,NA,NA,NA,NA,NA,NA,NA
