,,,,,SONG INFO,,,,,,,,,GEMS-DIMENSIONS,,,,,,,,,GEMS-FACTORS,,,,the differentiation of the ratings (indicates how many different items per dimension where used),,,,,,,,,,,,,ICC based on all participants,,,,,
Code,MP3-Code,package,num. Of raters,follow up,Title,Artist,feat.,Year,Genre,Subgenre,Articles,liking,familiarity,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
K014,K_Delibes_Coppeli,3,34,0,"Coppelia. Ballet in 3 Acts. First act, prélude",Delibes,NA,1870,Klassik,Romantik,GEMS_2008,3.29,1.88,18.40,17.35,3.76,5.75,18.70,0.75,5.19,25.20,38.40,27.53,36.97,5.36,,0.12,0.10,0.02,0.04,0.11,0.01,0.04,0.24,0.37,0.08,0.31,0.03,,0.87,0.88,0.88,0.88,0.93,0.96
K015,K_Holst_ThePlan,3,34,0,"The Planets, op. 32. Mars",Holst,NA,1914,Klassik,Romantik,GEMS_2008,2.85,1.74,20.23,18.96,3.14,5.89,4.53,0.29,33.16,15.96,16.34,25.22,20.17,28.86,,0.11,0.09,0.02,0.06,0.03,0.01,0.31,0.16,0.08,0.06,0.12,0.20,,0.84,0.84,0.85,0.85,0.91,0.36
K016,K_Mozart_DieZaub,4,27,0,Die Zauberflöte,Mozart,NA,1791,Klassik,Klassik,,2.85,1.78,12.52,15.32,11.57,9.64,15.75,0.00,7.00,4.41,15.89,21.60,16.78,6.42,,0.10,0.12,0.09,0.08,0.16,0.00,0.04,0.03,0.15,0.11,0.09,0.03,,0.51,0.51,0.45,0.46,0.71,0.81
K017,K_Faure_Romance,4,28,0,Romance sans Paroles,Fauré,NA,1880,Klassik,Impressionismus,,3.57,1.32,12.65,15.02,29.32,23.11,38.24,4.56,1.11,1.48,7.93,34.41,8.51,3.84,,0.10,0.10,0.25,0.21,0.36,0.05,0.01,0.01,0.06,0.20,0.04,0.03,,0.82,0.81,0.81,0.81,0.94,0.97
K018,K_Malipiero_Risonan,4,28,0,Risonanze,Malipiero,NA,1918,Klassik,(Spät-)romantik,,3.86,2.46,16.70,27.08,12.18,19.57,8.40,6.38,12.59,24.49,14.87,33.30,27.37,14.88,,0.10,0.17,0.07,0.19,0.05,0.05,0.08,0.21,0.07,0.12,0.13,0.07,,0.68,0.66,0.66,0.65,0.68,0.87
K019,K_Liszt_Benedic,4,28,1,Bénédiction de Dieu Dans la Solitude,Liszt,NA,1847,Klassik,Romantik,GEMS_2008,3.61,1.43,13.99,17.97,24.85,28.93,43.98,0.00,4.50,3.46,6.23,37.74,8.82,4.21,,0.10,0.13,0.24,0.25,0.40,0.00,0.04,0.02,0.04,0.21,0.03,0.02,,0.84,0.84,0.84,0.85,0.95,0.98
K020,K_Mendelssohn_SongWit,4,27,0,"Song Without Words, op. 19, No. 1",Mendelssohn,NA,1832,Klassik,Romantik,GEMS_2008,3.81,1.33,16.71,14.52,29.91,21.88,36.24,3.40,0.73,2.42,10.57,35.17,9.73,2.70,,0.13,0.08,0.24,0.21,0.31,0.05,0.01,0.02,0.07,0.19,0.05,0.02,,0.83,0.83,0.82,0.83,0.93,0.98
K021,K_Mozart_Einekle,5,28,0,Eine kleine Nachtmusik: 1. satz ,Mozart,NA,1787,Klassik,Klassik,GEMS_2008,3.75,3.25,21.72,19.33,9.47,10.38,24.51,0.00,4.07,15.53,40.69,32.33,35.67,3.73,,0.14,0.10,0.05,0.07,0.17,0.00,0.05,0.16,0.39,0.11,0.29,0.03,,0.84,0.85,0.85,0.85,0.92,0.97
K022,K_Humperdinck_Haensel,5,28,0,Hänsel und Gretel (Ouvertüre),Humperdinck,NA,1893,Klassik,Romantik,,3.36,1.54,20.42,11.53,27.09,23.98,34.68,1.29,4.50,5.07,11.56,34.21,14.97,5.30,,0.13,0.07,0.20,0.17,0.28,0.01,0.02,0.04,0.07,0.16,0.05,0.02,,0.75,0.75,0.75,0.75,0.91,0.95
K023,K_Strawinsky_Feuervo,5,28,1,Feuervogel Suite,Strawinsky,NA,1910,Klassik,Expressionismus,,3.5,2.96,23.85,32.16,12.51,15.17,6.94,6.39,13.38,20.46,12.47,30.76,24.45,15.17,,0.17,0.29,0.07,0.16,0.06,0.06,0.10,0.17,0.08,0.15,0.12,0.09,,0.67,0.66,0.59,0.58,0.80,0.85
K024,K_Milhaud_Scaramo,5,28,0,Scaramouche: Brazileira,Milhaud,NA,1936,Klassik,Moderne,GEMS_2008,3.11,1.64,21.46,16.00,9.86,10.07,14.75,0.00,8.76,19.50,32.88,29.27,30.75,7.85,,0.17,0.10,0.05,0.06,0.09,0.00,0.11,0.11,0.35,0.10,0.24,0.07,,0.76,0.77,0.76,0.77,0.86,0.94
K025,K_Saint-Saens_Carniva,5,28,0,Carnival of Animals: Finale,Saint-Saens,NA,1886,Klassik,Romantik,GEMS_2008,3.39,1.93,23.26,15.54,5.25,12.86,11.13,0.00,8.62,20.42,33.93,26.63,33.93,7.94,,0.16,0.07,0.04,0.10,0.06,0.00,0.06,0.14,0.34,0.09,0.25,0.04,,0.80,0.80,0.80,0.80,0.87,0.93
K029,K_Chopin_Impromp,7,30,0,Impromptu No. 2,Chopin,NA,1840,Klassik,Romantik,,3.53,1.83,16.91,14.87,24.59,23.26,43.46,5.96,1.82,4.30,14.18,37.17,13.06,4.70,,0.14,0.09,0.21,0.22,0.38,0.07,0.01,0.02,0.08,0.20,0.05,0.03,,0.85,0.85,0.86,0.87,0.93,0.97
K030,K_Beethoven_Mondsch,7,30,0,Mondscheinsonate,Beethoven,NA,1801,Klassik,Klassik,,3.67,2.9,22.84,20.41,13.15,26.94,30.57,21.59,7.17,4.28,10.54,35.97,10.56,20.11,,0.13,0.11,0.10,0.25,0.27,0.24,0.05,0.02,0.04,0.17,0.03,0.13,,0.76,0.76,0.74,0.74,0.80,0.93
K031,K_Beethoven_9Sympho,8,31,0,"9. Symphonie, 2. Satz (Toscanini)",Beethoven,NA,1824,Klassik,Klassik,,3.74,1.87,6.95,13.29,1.14,9.68,8.64,0.00,14.75,23.31,27.03,25.30,32.55,13.31,,0.05,0.09,0.01,0.06,0.05,0.00,0.14,0.22,0.16,0.05,0.19,0.09,,0.74,0.74,0.72,0.72,0.87,0.88
K032,K_Debussy_Clairde,8,31,0,Clair de lune,Debussy,NA,1905,Klassik,Impressionismus,,3.58,2.61,15.12,14.75,19.58,27.66,26.46,6.45,4.37,3.48,3.48,32.07,5.52,9.48,,0.08,0.11,0.14,0.32,0.27,0.05,0.04,0.02,0.03,0.17,0.02,0.04,,0.80,0.80,0.79,0.79,0.88,0.96
K033,K_Beethoven_Symphon,8,31,0,Symphony No.5 in C minor Op.67,Beethoven,NA,1808,Klassik,Klassik,,3.74,4.03,14.81,18.32,5.64,11.87,7.31,1.53,25.12,36.01,25.09,24.24,34.22,23.33,,0.11,0.15,0.05,0.10,0.07,0.01,0.15,0.36,0.19,0.10,0.26,0.10,,0.78,0.78,0.76,0.76,0.90,0.56
K034,K_Tschaikowski_Schwane,9,26,0,Schwanensee,Tschaikowski,NA,1877,Klassik,Romantik,,3.62,3.23,21.49,23.08,18.85,18.60,8.31,8.33,5.98,16.66,18.87,26.80,22.31,8.26,,0.18,0.18,0.16,0.19,0.07,0.05,0.03,0.14,0.12,0.16,0.13,0.04,,0.56,0.54,0.59,0.59,0.71,0.92
K035,K_Debussy_Prelude,9,26,0,Prélude à l’après-midi d’un faune,Debussy,NA,1894,Klassik,Impressionismus,,3.15,1.69,20.10,14.42,12.22,24.22,22.03,6.69,5.30,2.47,11.03,31.57,11.32,10.53,,0.12,0.10,0.08,0.17,0.20,0.05,0.04,0.02,0.06,0.13,0.05,0.04,,0.60,0.60,0.57,0.58,0.77,0.92
K036,K_Ligeti_EtuedeA,9,26,0,Etüde Arc en Ciel,Ligeti,NA,1985,Klassik,Neue Musik,,2.65,1.39,13.22,15.67,9.01,16.95,16.30,6.39,20.08,0.72,3.66,23.15,4.07,20.58,,0.07,0.11,0.07,0.14,0.14,0.08,0.16,0.01,0.02,0.10,0.01,0.13,,0.55,0.55,0.43,0.44,0.73,0.88
K037,K_Haendel_SinfinB,10,29,0,Sinfonie in B-Dur (HWV 339),Händel,NA,1709,Klassik,Barock,,3.21,1.9,14.65,7.83,6.77,2.97,6.67,0.00,8.83,19.90,28.09,19.32,30.16,8.07,,0.09,0.05,0.04,0.03,0.05,0.00,0.07,0.16,0.24,0.05,0.20,0.04,,0.70,0.70,0.69,0.69,0.88,0.90
K038,K_Mahler_6Sympho,10,29,0,"6. Symphony, Andante, (Karajan)",Mahler,NA,1904,Klassik,Romantik,,3.31,1.59,14.35,11.25,13.86,12.81,20.58,5.10,3.17,6.93,6.14,28.37,10.79,6.33,,0.13,0.10,0.14,0.13,0.20,0.03,0.03,0.04,0.04,0.14,0.04,0.03,,0.56,0.55,0.58,0.57,0.66,0.94
K039,K_Messiaen_Quatuor,10,28,0,Quatuor pour la fin du Temps,Messiaen,NA,1941,Klassik,Moderne,,2.5,1.5,10.19,14.68,6.83,8.68,5.61,19.53,20.55,1.03,4.26,19.56,3.93,27.87,,0.07,0.10,0.05,0.06,0.05,0.17,0.18,0.01,0.03,0.07,0.02,0.17,,0.67,0.69,0.71,0.72,0.79,0.93
K040,K_Mozart_Overtue,11,28,0,Overtüre - Die Entführung aus dem Serail,Mozart,NA,1782,Klassik,Klassik,,3.04,2,16.84,15.53,5.44,9.58,9.51,0.48,4.60,26.94,27.70,25.80,31.41,4.68,,0.08,0.09,0.03,0.06,0.06,0.01,0.04,0.16,0.22,0.07,0.20,0.03,,0.69,0.68,0.73,0.72,0.88,0.95
K041,K_Beethoven_SinfNr6,11,28,0,Sinfonie Nr. 6,Beethoven,NA,1808,Klassik,Kassik,,3,1.64,19.39,13.44,14.49,8.08,16.65,2.38,1.62,9.08,17.08,29.55,18.12,3.46,,0.11,0.09,0.11,0.07,0.11,0.01,0.02,0.05,0.12,0.10,0.09,0.02,,0.49,0.49,0.42,0.43,0.73,0.96
K042,K_Mozart_Laudate,11,28,0,Laudate Dominum,Mozart,NA,1780,Klassik,Klassik,,2.68,1.5,15.10,21.03,3.43,2.55,8.07,2.31,18.18,17.30,12.94,25.60,21.57,16.72,,0.11,0.13,0.01,0.02,0.05,0.01,0.11,0.18,0.06,0.07,0.11,0.08,,0.49,0.51,0.47,0.48,0.77,0.12
K043,K_Chopin_EtuedeO,12,27,0,Etüde Op. 25 No. 1,Chopin,NA,1837,Klassik,Romantik,,3.48,1.85,16.16,17.79,22.35,16.93,21.58,3.33,0.67,6.33,12.03,33.54,12.01,3.44,,0.16,0.11,0.14,0.17,0.17,0.03,0.01,0.05,0.07,0.15,0.06,0.01,,0.66,0.66,0.62,0.62,0.81,0.97
K044,K_Albinoni_Concert,12,27,0,"Concerto a cinque No. 2, Op. 9",Albinoni,NA,1722,Klassik,Barock,,3.48,1.89,16.95,14.01,14.84,18.89,20.73,2.36,4.18,13.64,18.20,33.01,22.59,5.43,,0.12,0.10,0.07,0.17,0.16,0.05,0.02,0.08,0.12,0.12,0.10,0.03,,0.62,0.61,0.55,0.54,0.63,0.94
K045,K_Brahms_Klavier,12,27,1,Klaviersonate Nr. 3 (Zwei Klaviere),Brahms,NA,1854,Klassik,Romantik,,3.22,1.96,10.50,14.07,10.57,8.05,11.81,5.93,12.65,20.61,11.76,23.16,19.65,16.29,,0.07,0.10,0.06,0.07,0.09,0.05,0.10,0.13,0.09,0.08,0.11,0.08,,0.55,0.57,0.47,0.49,0.19,-0.43
K046,K_Haendel_DerMess,13,31,1,Der Messias (Hallelujah),Händel,NA,1741,Klassik,Barock,,2.81,1.94,10.01,11.02,8.32,8.27,11.97,3.96,9.78,19.24,7.62,22.95,20.88,12.43,,0.07,0.09,0.06,0.06,0.08,0.02,0.07,0.17,0.05,0.07,0.11,0.05,,0.39,0.39,0.30,0.26,0.40,0.61
K047,K_Palestrina_MissaBr,13,31,0,Missa Brevis (Kyrie),Palestrina,NA,1570,Klassik,Renaissance,,2.94,2.07,14.04,21.83,12.33,16.12,27.02,6.56,6.67,6.54,2.45,30.50,8.24,11.47,,0.09,0.13,0.06,0.14,0.26,0.04,0.06,0.03,0.02,0.13,0.02,0.05,,0.69,0.70,0.61,0.63,0.83,0.93
K048,K_Brahms_KSNr3Zw,13,31,0,"Klavierquartett Nr. 3 in C-Moll, 3. Satz",Brahms,NA,1875,Klassik,Romantik,,3.19,1.74,15.38,6.93,21.36,25.04,24.47,11.91,10.74,0.00,1.56,33.03,1.46,17.39,,0.09,0.04,0.16,0.25,0.22,0.12,0.07,0.00,0.01,0.14,0.01,0.09,,0.76,0.77,0.76,0.76,0.86,0.97
K049,K_Tschaikowski_Symphon,14,44,0,"Symphony, 1 Scherzo",Tschaikowski,NA,1866,Klassik,Romantik,,3.25,1.91,11.38,13.16,6.19,8.66,12.04,0.00,12.06,11.73,21.09,22.19,21.77,10.77,,0.09,0.11,0.05,0.09,0.07,0.00,0.14,0.10,0.18,0.08,0.14,0.09,,0.66,0.66,0.64,0.64,0.80,0.81
K050,K_Bartok_Sonata2,14,43,0,Sonata 2 pianos percussion,Bartok,NA,1937,Klassik,Expressionismus,,2.44,1.37,13.78,13.98,2.36,3.72,6.72,0.00,27.35,9.82,12.12,21.20,14.23,24.22,,0.09,0.09,0.01,0.02,0.03,0.00,0.29,0.08,0.09,0.05,0.09,0.18,,0.83,0.84,0.78,0.78,0.91,0.64
K051,K_Schumann_Fantasi,14,43,0,Fantasie in C-Dur,Schumann,NA,1839,Klassik,Romantik,,3.28,1.81,15.50,16.30,11.49,22.83,21.18,3.86,4.62,5.94,10.23,30.44,12.18,7.24,,0.12,0.11,0.11,0.19,0.19,0.05,0.04,0.03,0.07,0.14,0.05,0.05,,0.70,0.70,0.70,0.70,0.84,0.96
K052,K_Schumann_Kinders,15,30,0,Kinderszenen,Schumann,NA,1838,Klassik,Romantik,,2.8,1.4,8.85,6.89,5.27,4.60,20.19,0.00,8.96,7.20,20.13,23.29,18.94,8.23,,0.05,0.05,0.05,0.04,0.13,0.00,0.09,0.05,0.16,0.06,0.11,0.05,,0.51,0.42,0.58,0.50,0.82,0.85
K053,K_Grieg_Norwegi,15,30,0,Norwegische Tänze,Grieg,NA,1881,Klassik,Romantik,,3.1,1.57,18.48,18.51,2.16,1.56,4.74,0.69,19.45,29.56,26.69,23.38,33.37,18.23,,0.11,0.12,0.01,0.02,0.03,0.01,0.19,0.27,0.20,0.06,0.23,0.13,,0.77,0.77,0.74,0.75,0.93,0.82
K054,K_Schumann_EtudeS,15,30,0,Études Symphoniques,Schumann,NA,1837,Klassik,Romantik,,3.47,1.47,16.99,16.16,27.60,29.71,35.44,4.47,4.13,1.58,11.50,35.34,12.05,5.58,,0.13,0.10,0.27,0.26,0.37,0.06,0.05,0.01,0.08,0.22,0.05,0.05,,0.83,0.83,0.83,0.83,0.91,0.96
K055,K_JSBach_Konzert,16,25,0,"Konzert 2 Violinen, 2. Satz",J.S. Bach,NA,1730,Klassik,Barock,,3.4,1.4,15.97,7.57,20.51,22.33,40.18,5.24,3.38,3.34,9.30,31.35,11.66,4.72,,0.13,0.07,0.24,0.23,0.42,0.09,0.03,0.03,0.06,0.21,0.05,0.06,,0.83,0.83,0.84,0.84,0.92,0.95
K056,K_Mozart_25SinfI,16,25,0,25. Sinfonie (I. Allegro con brio),Mozart,NA,1773,Klassik,Klassik,,3.64,1.84,18.32,16.76,3.93,13.50,7.39,2.13,11.25,20.48,32.90,21.53,30.82,11.87,,0.13,0.12,0.05,0.10,0.06,0.01,0.14,0.18,0.28,0.09,0.23,0.10,,0.68,0.68,0.71,0.71,0.87,0.86
K057,K_Beethoven_SonateN,16,25,0,"Sonate Nr. 8, 2. Satz",Beethoven,NA,1799,Klassik,Klassik,,3.76,2.44,13.29,16.25,25.90,30.49,42.22,20.01,4.18,0.84,3.75,37.80,4.15,16.31,,0.11,0.15,0.21,0.36,0.41,0.24,0.02,0.01,0.03,0.23,0.02,0.11,,0.82,0.82,0.82,0.82,0.91,0.96
K058,K_Bizet_CarmenH,17,29,0,Carmen (Habanera),Bizet,NA,1875,Klassik,Romantik,,3.28,3.17,18.65,7.02,9.36,13.29,11.29,3.29,4.49,17.78,19.40,24.70,23.98,6.91,,0.15,0.08,0.08,0.13,0.10,0.05,0.03,0.14,0.18,0.11,0.16,0.04,,0.42,0.42,0.41,0.42,0.70,0.89
K059,K_Chopin_Revolut,17,29,0,Revolutionary Etude,Chopin,NA,1831,Klassik,Romantik,,2.93,1.62,14.33,13.90,1.80,6.45,4.19,1.97,13.13,15.66,16.56,22.55,19.43,11.91,,0.10,0.09,0.01,0.07,0.04,0.05,0.15,0.14,0.12,0.07,0.13,0.11,,0.63,0.63,0.59,0.60,0.76,0.68
K060,K_Liszt_Spanish,17,29,0,Spanish Rhapsody,Liszt,NA,1863,Klassik,Romantik,,3.21,1.66,15.84,12.90,20.55,26.00,30.05,1.26,3.82,1.63,10.98,33.08,10.40,4.59,,0.14,0.09,0.19,0.24,0.31,0.01,0.04,0.01,0.10,0.19,0.06,0.03,,0.79,0.79,0.81,0.81,0.90,0.97
K061,K_Brahms_SonateN,18,37,0,"Sonate Nr. 2 für Klarinette, 1. Satz",Brahms,NA,1894,Klassik,Romantik,,3.32,1.3,11.86,14.94,22.58,29.32,34.07,0.88,4.44,4.09,9.57,35.03,9.60,4.17,,0.10,0.08,0.16,0.26,0.34,0.03,0.07,0.04,0.06,0.18,0.05,0.05,,0.84,0.85,0.85,0.85,0.93,0.98
K062,K_Mussorgsky_Bildere,18,37,0,Bilder einer Ausstellung,Mussorgsky,NA,1874,Klassik,Impressionismus,,3.11,1.32,19.80,16.89,0.00,4.46,0.00,0.00,27.98,33.41,24.73,22.66,31.42,25.16,,0.12,0.10,0.00,0.02,0.00,0.00,0.26,0.28,0.18,0.06,0.22,0.16,,0.88,0.87,0.87,0.86,0.95,0.50
K063,K_Debussy_Arabesq,18,37,0,Arabesque No. 1,Debussy,NA,1891,Klassik,Impressionismus,,3.57,1.41,15.65,21.12,28.94,33.15,44.04,3.35,1.27,1.09,7.99,38.90,7.28,3.79,,0.12,0.12,0.24,0.31,0.37,0.05,0.02,0.01,0.05,0.22,0.03,0.03,,0.89,0.89,0.90,0.89,0.96,0.99
K064,K_Skrjabin_Prelude1,19,35,0,Preludes op. 11 no. 1,Skrjabin,NA,1896,Klassik,Impressionismus,,3.26,1.54,17.03,13.71,17.60,22.26,23.20,8.58,1.13,5.73,9.39,31.58,12.10,7.02,,0.08,0.10,0.14,0.17,0.22,0.11,0.02,0.03,0.05,0.14,0.04,0.05,,0.73,0.73,0.68,0.68,0.84,0.96
K065,K_Tschaikowski_Slawisc,19,35,0,Slawischer Marsch,Tschaikowski,NA,1876,Klassik,Romantik,,2.46,1.8,13.06,15.02,4.61,4.00,4.44,1.61,27.12,16.53,15.80,19.94,21.61,23.64,,0.07,0.09,0.02,0.03,0.02,0.03,0.27,0.14,0.09,0.05,0.11,0.18,,0.81,0.81,0.78,0.78,0.87,-2.87
K066,K_Verdi_derTrou,19,35,0,der Troubadour,Verdi,NA,1851,Klassik,Romantik,,2.6,1.49,12.46,12.97,5.70,3.04,13.42,0.00,6.25,16.89,21.01,24.55,25.70,5.82,,0.06,0.06,0.05,0.01,0.09,0.00,0.04,0.12,0.15,0.06,0.14,0.03,,0.67,0.62,0.63,0.60,0.85,0.95
K067,K_Lalo_Symphon,20,24,0,Symphonie espagnole,Lalo,NA,1874,Klassik,Romantik,,3.29,1.92,20.84,16.72,7.27,9.88,14.65,0.00,4.87,13.35,27.97,25.99,25.76,4.54,,0.15,0.12,0.04,0.07,0.10,0.00,0.03,0.08,0.22,0.10,0.16,0.02,,0.61,0.60,0.62,0.62,0.86,0.93
K068,K_Verdi_Requiem,20,24,0,Requiem (Dies Irae),Verdi,NA,1874,Klassik,Romantik,,3.04,2.42,10.72,20.72,0.43,1.02,2.25,1.62,23.80,31.66,18.67,22.96,29.79,21.88,,0.10,0.10,0.01,0.01,0.02,0.03,0.20,0.31,0.10,0.05,0.19,0.14,,0.79,0.78,0.77,0.76,0.90,-0.03
K069,K_Beethoven_Violine,20,24,0,"Violinensonate Nr. 5 ""Frühlingssonate""",Beethoven,NA,1802,Klassik,Klassik,,3.58,2.21,18.60,16.22,12.13,19.30,23.86,3.53,3.17,1.58,13.68,28.51,13.30,5.74,,0.11,0.10,0.15,0.14,0.21,0.03,0.03,0.02,0.10,0.14,0.06,0.03,,0.56,0.57,0.56,0.55,0.79,0.91
K070,K_Beethoven_SinfNr9,21,24,0,Sinfonie Nr. 9,Beethoven,NA,1824,Klassik,Klassik,,3.04,1.63,18.20,12.36,13.00,17.91,29.31,1.08,4.64,1.55,8.39,28.51,9.03,4.18,,0.15,0.08,0.10,0.18,0.33,0.01,0.04,0.01,0.06,0.16,0.04,0.03,,0.78,0.78,0.73,0.74,0.86,0.94
K071,K_Shostakovich_Symphon,21,23,0,Symphony no. 11 in g Minor op. 103. 2. satz ,Shostakovich,NA,1957,Klassik,Moderne,GEMS_2008,2.35,1.22,9.85,11.59,0.00,3.42,3.34,0.00,34.66,18.31,8.59,20.90,19.14,31.05,,0.05,0.07,0.00,0.02,0.03,0.00,0.31,0.18,0.09,0.04,0.13,0.20,,0.76,0.76,0.73,0.73,0.91,0.64
K072,K_Copland_Appalac,21,23,0,Appalachian Suite,Copland,NA,1944,Klassik,Moderne,,3.13,2.04,19.03,13.53,11.87,21.34,29.51,5.04,1.98,5.24,14.03,30.70,12.63,6.11,,0.15,0.09,0.10,0.16,0.29,0.03,0.03,0.03,0.16,0.15,0.10,0.03,,0.70,0.70,0.67,0.67,0.83,0.94
K073,K_Tschaikowski_MarschN,22,19,0,Marsch (Nussknacker),Tschaikowski,NA,1892,Klassik,Romantik,,3.21,3.53,14.92,6.93,4.35,18.95,12.76,0.74,0.00,24.25,24.87,29.32,35.95,0.62,,0.10,0.07,0.04,0.16,0.07,0.02,0.00,0.16,0.19,0.09,0.18,0.01,,0.65,0.64,0.60,0.59,0.82,0.98
K074,K_Vivaldi_4JahrWi,22,20,0,Die 4 Jahreszeiten (Winter),Vivaldi,NA,1725,Klassik,Barock,,3.05,2.5,15.99,13.99,4.11,7.81,5.07,2.03,14.71,17.84,17.73,22.44,22.61,14.27,,0.08,0.11,0.03,0.06,0.03,0.02,0.11,0.13,0.13,0.07,0.13,0.08,,0.45,0.47,0.39,0.42,0.61,0.04
K075,K_Rachmaninow_Paganin,22,20,0,Paganini Variations No. 18,Rachmaninow,NA,1934,Klassik,Romantik,,3.35,1.4,20.82,8.28,18.92,25.40,41.46,2.63,2.31,4.08,16.51,33.49,17.38,4.34,,0.11,0.08,0.13,0.25,0.43,0.02,0.04,0.02,0.07,0.19,0.05,0.03,,0.83,0.83,0.80,0.81,0.90,0.92
K076,K_Brahms_SinfNr4,23,34,0,Sinfonie Nr. 4,Brahms,NA,1885,Klassik,Romantik,,3.62,1.35,16.90,22.00,16.25,20.25,21.83,5.00,7.29,9.59,10.48,31.14,13.13,10.23,,0.12,0.15,0.10,0.17,0.22,0.05,0.05,0.08,0.06,0.15,0.07,0.05,,0.59,0.58,0.57,0.56,0.72,0.92
K077,K_Chopin_Prelude,23,34,0,Prelude No. 16 in B-Moll,Chopin,NA,1839,Klassik,Romantik,,2.68,1.24,11.40,12.43,2.67,5.18,3.95,0.37,27.93,17.91,20.03,17.86,21.11,25.12,,0.09,0.06,0.02,0.03,0.03,0.01,0.27,0.14,0.15,0.05,0.14,0.17,,0.77,0.78,0.70,0.71,0.89,-0.08
K078,K_Franck_Violins,24,43,0,"Violinsonate, 4. Satz",Franck,NA,1886,Klassik,Romantik,,3.19,1.42,13.26,8.84,12.77,18.87,29.70,8.03,3.07,3.57,9.33,31.66,10.76,8.91,,0.09,0.05,0.11,0.16,0.23,0.11,0.02,0.02,0.06,0.12,0.04,0.06,,0.73,0.73,0.71,0.71,0.88,0.96
K079,K_Tschaikowski_Dornroe,24,43,0,Dornröschen,Tschaikowski,NA,1890,Klassik,Romantik,,3.16,1.86,11.32,10.46,1.02,4.87,4.98,0.00,13.72,35.34,21.85,15.12,34.28,12.45,,0.06,0.07,0.01,0.05,0.04,0.00,0.12,0.37,0.15,0.05,0.25,0.08,,0.89,0.89,0.88,0.88,0.95,0.95
K080,K_Vivaldi_LEstroA,25,33,0,L'Estro Armonico (Concerto No. 9),Vivaldi,NA,1711,Klassik,Barock,,3.39,1.88,16.68,20.22,13.48,15.24,27.84,0.57,5.46,7.57,23.18,32.62,23.59,4.84,,0.12,0.15,0.10,0.12,0.24,0.01,0.04,0.05,0.19,0.15,0.12,0.03,,0.74,0.73,0.72,0.71,0.86,0.96
K081,K_Rachmaninow_3KK3Sat,25,32,0,"3. Klavierkonzert, 3. Satz",Rachmaninow,NA,1909,Klassik,Romantik,,2.84,1.22,11.40,10.82,0.00,4.90,2.44,0.63,23.51,17.22,16.87,18.98,21.91,21.09,,0.07,0.06,0.00,0.02,0.01,0.01,0.21,0.14,0.15,0.04,0.15,0.13,,0.77,0.78,0.70,0.72,0.90,-2.98
K082,K_Sibelius_Vardete,26,26,0,Var det en dröm?,Sibelius,NA,1902,Klassik,Romantik,,2.58,1.23,16.57,16.02,10.31,10.93,12.23,13.14,11.63,6.43,5.89,22.18,8.32,16.89,,0.12,0.13,0.09,0.14,0.12,0.17,0.09,0.05,0.05,0.12,0.05,0.12,,0.39,0.36,0.29,0.25,0.13,0.76
K083,K_Chopin_3KS4Sat,26,26,0,"3. Klaviersonate, 4. Satz",Chopin,NA,1845,Klassik,Romantik,,3,1.39,17.88,26.42,5.37,16.24,11.95,5.30,15.72,15.09,23.49,27.73,22.87,16.01,,0.14,0.21,0.05,0.19,0.12,0.09,0.15,0.12,0.17,0.14,0.14,0.13,,0.59,0.57,0.50,0.49,0.73,0.62
K084,K_Brahms_Violink,27,27,0,Violinkonzert,Brahms,NA,1879,Klassik,Romantik,,3.15,1.11,15.69,17.81,19.39,22.20,24.58,2.31,7.61,3.53,9.59,29.13,9.40,7.91,,0.10,0.12,0.15,0.16,0.26,0.04,0.07,0.03,0.06,0.15,0.05,0.06,,0.64,0.65,0.61,0.62,0.82,0.94
K085,K_Bruckner_8SinfFi,27,26,0,8. Sinfonie (Finale),Bruckner,NA,1887,Klassik,Romantik,,3.42,1.46,15.27,20.20,1.02,0.00,0.00,1.69,12.56,41.95,17.39,22.08,34.96,11.86,,0.11,0.14,0.01,0.00,0.00,0.01,0.12,0.46,0.10,0.06,0.27,0.08,,0.89,0.89,0.90,0.90,0.96,0.94
K086,K_Verdi_LaTravi,28,30,0,La Traviata,Verdi,NA,1853,Klassik,Romantik,,3.3,1.7,17.73,10.18,19.24,22.63,28.37,1.58,3.75,7.17,10.99,31.82,12.42,4.81,,0.15,0.08,0.15,0.26,0.27,0.03,0.03,0.06,0.09,0.17,0.08,0.03,,0.72,0.72,0.73,0.74,0.88,0.97
K088,K_Prokofjew_KSNo7,29,37,0,Klaviersonate No. 7,Prokofjew,NA,1943,Klassik,Moderne,,2.41,1.38,4.65,8.55,0.00,2.69,4.84,0.00,24.23,8.92,13.19,11.06,13.88,21.57,,0.04,0.05,0.00,0.02,0.03,0.00,0.25,0.05,0.10,0.03,0.08,0.16,,0.79,0.80,0.76,0.78,0.90,0.60
