,,,,,SONG INFO,,,,,,,,,GEMS-DIMENSIONS,,,,,,,,,GEMS-FACTORS,,,,the differentiation of the ratings (indicates how many different items per dimension where used),,,,,,,,,,,,,ICC based on all participants,,,,,
Code,MP3-Code,package,num. Of raters,follow up,Title,Artist,feat.,Year,Genre,Subgenre,Articles,liking,familiarity,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H041,H_50Cent_InDaClu,14,43,0,In Da Club,50 Cent,NA,2003,Hip Hop,NA,,3.44,3.81,9.26,4.18,3.31,9.81,10.30,0.00,7.59,16.79,35.35,20.29,33.58,6.90,,0.04,0.02,0.01,0.07,0.07,0.00,0.07,0.14,0.30,0.04,0.23,0.04,,0.89,0.90,0.88,0.88,0.94,0.95
H042,H_AkuaNaru_Poetry:,14,43,0,Poetry: How Does It Feel Now,Akua Naru,NA,2011,Hip Hop,NA,,2.88,1.35,11.91,7.95,18.35,10.65,27.33,1.46,6.35,3.57,5.21,26.68,6.99,6.69,,0.06,0.05,0.14,0.10,0.24,0.02,0.06,0.03,0.02,0.11,0.03,0.04,,0.80,0.80,0.82,0.81,0.91,0.95
H043,H_OutKast_BOB,15,30,0,B.O.B.,OutKast,NA,2000,Hip Hop,Hip-Hop/Rap,,2.83,1.83,6.13,9.10,0.16,3.08,6.89,0.44,17.61,22.06,31.78,15.78,32.23,16.10,,0.04,0.07,0.01,0.03,0.05,0.01,0.17,0.17,0.28,0.04,0.23,0.11,,0.83,0.84,0.84,0.85,0.93,0.88
H044,H_JediMindTricks_Deathbe,15,30,0,Deathbed Doctrine,Jedi Mind Tricks,NA,2008,Hip Hop,Hip-Hop/Rap,,2.9,1.23,6.94,4.88,1.82,1.67,3.96,0.00,14.08,23.36,34.41,13.42,34.13,12.59,,0.06,0.03,0.01,0.01,0.03,0.00,0.13,0.23,0.29,0.03,0.26,0.08,,0.85,0.85,0.83,0.83,0.95,0.93
H045,H_Bushido_LebenUn,15,30,0,Leben Und Tod Des Kenneth Glöckler,Bushido,NA,2013,Hip Hop,NA,,2.63,1.5,11.44,11.64,1.02,1.17,5.08,0.71,13.29,26.01,15.84,16.50,26.03,12.63,,0.11,0.08,0.01,0.02,0.05,0.01,0.12,0.26,0.09,0.06,0.17,0.08,,0.71,0.73,0.72,0.74,0.88,0.78
H046,H_BeastieBoys_FightFo,16,25,0,Fight For Your Right,Beastie Boys,NA,1986,Hip Hop,NA,,3.04,2.52,12.72,4.70,1.00,10.34,1.95,0.00,18.68,22.87,26.83,13.74,26.05,16.72,,0.08,0.03,0.02,0.10,0.02,0.00,0.18,0.19,0.32,0.05,0.26,0.12,,0.81,0.82,0.77,0.79,0.88,0.49
H047,H_ActionBronson_ActinCr,16,25,0,Actin Crazy,Action Bronson,NA,2015,Hip Hop,Hip-Hop/Rap,,2.56,1,6.14,5.44,1.06,1.25,13.22,0.96,17.16,12.43,15.14,13.58,16.97,14.81,,0.05,0.02,0.01,0.01,0.10,0.03,0.18,0.11,0.13,0.04,0.12,0.13,,0.72,0.68,0.72,0.69,0.74,-5.40
H048,H_ImmortalTechnique_Leaving,16,25,0,Leaving the past,Immortal Technique,NA,2003,Hip Hop,NA,,2.64,1,10.94,13.31,2.09,10.30,7.96,11.60,12.37,6.81,11.57,21.33,12.17,19.29,,0.07,0.08,0.01,0.06,0.07,0.13,0.12,0.07,0.08,0.06,0.08,0.13,,0.54,0.47,0.50,0.43,0.07,0.47
H049,H_SSIO_Nullkom,17,29,0,Nullkommaneun,SSIO,NA,2016,Hip Hop,NA,,2.52,1.45,8.89,10.41,1.06,1.06,2.75,0.00,23.23,13.34,21.99,17.22,24.18,20.73,,0.04,0.06,0.01,0.01,0.01,0.00,0.23,0.10,0.14,0.03,0.12,0.14,,0.73,0.73,0.70,0.71,0.89,-0.32
H050,H_Wu-TangClan_DaMyste,17,29,0,Da Mystery Of Chessboxin',Wu-Tang Clan,NA,1993,Hip Hop,Hip-Hop/Rap,,2.59,1.45,4.81,4.99,1.45,1.23,2.79,0.00,16.99,20.21,21.34,10.87,24.16,15.63,,0.02,0.02,0.01,0.01,0.02,0.00,0.13,0.17,0.21,0.02,0.19,0.08,,0.80,0.81,0.77,0.78,0.91,0.76
H052,H_PostMalone_Congrat,18,37,0,Congratulations,Post Malone,NA,2016,Hip Hop,Trap,,3.38,3.05,10.36,3.63,4.36,14.12,16.95,1.64,7.61,16.19,26.87,22.85,26.33,8.33,,0.04,0.02,0.04,0.14,0.15,0.01,0.06,0.12,0.24,0.07,0.19,0.04,,0.78,0.79,0.77,0.77,0.86,0.88
H053,H_D-12_FightMu,18,37,0,Fight Music,D-12,NA,2001,Hip Hop,NA,,3.05,2.19,1.15,4.76,0.00,4.53,2.98,0.00,15.29,27.73,20.51,8.03,29.09,14.06,,0.01,0.02,0.00,0.03,0.04,0.00,0.11,0.27,0.17,0.02,0.21,0.07,,0.86,0.86,0.84,0.84,0.94,0.92
H054,H_Jurassic5_WorkItO,18,37,0,Work It Out,Jurassic 5,NA,2006,Hip Hop,NA,,3.08,1.19,6.53,8.44,5.95,8.30,14.53,0.00,7.98,11.39,28.71,23.71,25.77,7.20,,0.04,0.04,0.04,0.09,0.11,0.00,0.06,0.08,0.24,0.06,0.17,0.04,,0.81,0.81,0.79,0.79,0.88,0.90
H055,H_Logic_BlackSp,19,35,0,Black Spiderman,Logic,NA,2017,Hip Hop,NA,,2.49,1.8,8.21,7.90,4.75,4.95,7.22,1.78,11.45,12.53,21.50,17.05,22.88,11.67,,0.05,0.03,0.02,0.04,0.03,0.03,0.11,0.08,0.15,0.04,0.12,0.08,,0.69,0.67,0.63,0.61,0.75,0.63
H056,H_JayZ_HardKno,19,35,0,Hard Knock Life,Jay Z,NA,1998,Hip Hop,NA,,3.29,3.43,11.67,8.00,11.90,12.48,11.44,3.06,7.38,9.07,22.45,26.16,22.28,9.09,,0.05,0.06,0.06,0.09,0.09,0.04,0.05,0.06,0.15,0.07,0.11,0.05,,0.57,0.58,0.60,0.60,0.65,0.88
