,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H908,32,23,Silent Lava,Figub Brazlevic,NA,NA,Hip Hop,Instrumental Hip-Hop,0.91,3.53,1.54,0.84,17.83,0.00,15.32,0.42,8.21,14.69,7.69,14.03,,0.01,0.04,0.02,0.02,0.17,0.00,0.11,0.01,0.06,0.05,0.04,0.07,1.17,,0.55,0.40,0.68,0.53,0.82,0.81,0.65,0.64,0.70,0.70,0.78,-0.02,0.74,0.69,0.77,0.71,0.83,-0.06
H909,24,43,keep it real,Flo Filz,NA,NA,Hip Hop,Instrumental Hip-Hop,11.23,4.47,3.07,7.20,18.80,0.00,11.45,10.57,19.82,19.59,20.23,10.35,,0.05,0.03,0.01,0.06,0.14,0.00,0.11,0.06,0.20,0.06,0.14,0.07,1.21,,0.71,0.72,0.67,0.67,0.79,0.39,0.62,0.61,0.58,0.58,0.61,0.34,0.79,0.79,0.77,0.76,0.85,0.69
H910,33,27,controlla,idealism,NA,NA,Hip Hop,Instrumental Hip-Hop,14.23,5.28,18.58,24.13,38.46,8.32,0.00,2.04,6.51,35.69,6.77,6.97,,0.12,0.03,0.13,0.19,0.40,0.09,0.00,0.02,0.05,0.16,0.04,0.03,1.22,,0.71,0.72,0.67,0.68,0.83,0.96,0.81,0.80,0.82,0.81,0.90,0.97,0.86,0.87,0.86,0.86,0.93,0.98
H911,35,31,Your Favorite Place,Joey Pecoraro,NA,NA,Hip Hop,Instrumental Hip-Hop,16.92,21.69,26.70,14.39,44.77,1.57,6.10,5.55,13.54,37.05,14.65,6.81,,0.11,0.15,0.17,0.10,0.45,0.02,0.05,0.03,0.09,0.19,0.06,0.04,1.48,,0.71,0.73,0.69,0.72,0.82,0.74,0.81,0.81,0.78,0.79,0.89,0.94,0.86,0.87,0.85,0.85,0.92,0.95
H912,26,26,Midas Era,Lord Finesse,NA,NA,Hip Hop,Instrumental Hip-Hop,11.32,9.46,2.34,8.10,19.45,0.74,13.39,9.36,24.10,20.40,21.78,12.19,,0.06,0.05,0.02,0.05,0.15,0.01,0.12,0.08,0.22,0.07,0.15,0.08,1.27,,0.40,0.37,0.39,0.37,0.49,-49.29,0.67,0.65,0.58,0.57,0.75,0.75,0.72,0.69,0.68,0.67,0.80,0.40
H913,27,27,23,monte booker,NA,NA,Hip Hop,Instrumental Hip-Hop,9.15,14.09,7.40,5.94,16.07,0.00,17.60,7.07,18.70,22.23,17.64,15.93,,0.04,0.06,0.05,0.07,0.17,0.00,0.15,0.05,0.15,0.08,0.10,0.09,1.00,,0.49,0.47,0.42,0.35,0.62,-0.22,0.46,0.49,0.44,0.47,0.61,-4.61,0.64,0.65,0.57,0.58,0.72,-0.52
H914,34,33,pueblo,Philanthrope x tusken,NA,NA,Hip Hop,Instrumental Hip-Hop,7.52,10.43,10.95,15.10,27.09,2.31,4.04,2.52,6.14,25.86,7.16,5.19,,0.07,0.09,0.09,0.17,0.26,0.04,0.04,0.04,0.06,0.13,0.05,0.04,1.24,,0.56,0.58,0.59,0.59,0.77,0.91,0.72,0.67,0.79,0.77,0.84,0.94,0.77,0.76,0.80,0.80,0.89,0.96
H915,31,20,swing theory,quickly quickly,NA,NA,Hip Hop,Instrumental Hip-Hop,6.20,9.08,3.87,7.41,14.57,0.00,16.51,6.93,13.85,17.89,13.99,15.06,,0.05,0.07,0.02,0.08,0.14,0.02,0.10,0.04,0.13,0.07,0.09,0.07,1.05,,0.23,0.27,0.20,0.26,0.30,0.16,0.40,0.22,0.35,0.21,0.39,-0.87,0.50,0.38,0.46,0.34,0.52,-4.76
H916,31,21,K C Vodka,Suff Daddy,NA,NA,Hip Hop,Instrumental Hip-Hop,0.00,3.25,2.00,0.92,8.87,2.29,15.08,6.43,11.40,8.37,11.52,14.28,,0.00,0.02,0.01,0.02,0.11,0.03,0.16,0.05,0.09,0.03,0.07,0.11,1.00,,0.54,0.47,0.69,0.59,0.70,0.89,0.80,0.63,0.81,0.60,0.64,-3.02,0.83,0.68,0.86,0.70,0.71,-0.59
H917,26,26,5_32,The Deli,NA,NA,Hip Hop,Instrumental Hip-Hop,9.04,9.30,17.07,24.82,39.04,0.00,5.99,0.94,7.83,31.97,7.07,5.56,,0.05,0.05,0.13,0.26,0.45,0.00,0.04,0.02,0.04,0.17,0.03,0.02,1.19,,0.84,0.85,0.75,0.75,0.93,0.98,0.80,0.81,0.75,0.75,0.83,0.86,0.90,0.91,0.87,0.87,0.94,0.96
H918,28,29,Blue Book,Tom Doolie,NA,NA,Hip Hop,Instrumental Hip-Hop,11.92,8.82,22.72,19.66,37.97,4.05,0.35,0.00,7.91,29.22,7.29,3.49,,0.10,0.08,0.19,0.20,0.44,0.06,0.02,0.01,0.09,0.19,0.06,0.03,1.21,,0.73,0.73,0.70,0.70,0.83,0.85,0.84,0.83,0.86,0.85,0.94,0.97,0.88,0.88,0.89,0.89,0.95,0.97
H919,33,27,one two step,tomppabeats,NA,NA,Hip Hop,Instrumental Hip-Hop,20.38,3.26,8.55,3.22,14.36,0.00,1.96,11.05,35.98,23.56,32.14,1.83,,0.11,0.02,0.07,0.07,0.12,0.00,0.02,0.07,0.33,0.07,0.21,0.01,1.04,,0.80,0.81,0.78,0.79,0.93,0.96,0.64,0.64,0.69,0.69,0.85,0.96,0.83,0.84,0.84,0.85,0.95,0.98
H920,29,37,Glowing Lights,No Spirit,NA,NA,Hip Hop,Instrumental Hip-Hop,3.72,9.33,12.41,12.84,36.67,3.86,3.32,2.76,1.85,30.18,4.23,5.62,,0.03,0.05,0.08,0.12,0.37,0.03,0.02,0.02,0.01,0.12,0.01,0.02,1.49,,0.87,0.87,0.85,0.85,0.92,0.94,0.81,0.81,0.79,0.80,0.83,0.93,0.90,0.91,0.89,0.90,0.94,0.97
K001,1,13,Sommernachtstraum,Bartholdy,NA,1826,Klassik,Romantik,11.51,16.55,3.03,11.54,11.91,0.96,0.92,11.25,17.87,30.03,22.37,1.59,,0.06,0.09,0.05,0.10,0.08,0.05,0.02,0.09,0.15,0.07,0.13,0.03,2.08,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.39,0.37,0.31,0.29,0.43,0.94,0.39,0.37,0.31,0.29,0.43,0.94
K002,1,12,Lascia ch’io pianga,Händel,NA,1705,Klassik,Barock,9.34,15.99,14.77,9.01,42.24,10.60,2.10,7.05,13.08,34.42,12.18,8.48,,0.06,0.07,0.13,0.06,0.37,0.17,0.02,0.03,0.04,0.14,0.04,0.07,2.17,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.60,0.60,0.60,0.61,0.81,0.88,0.60,0.60,0.60,0.61,0.81,0.88
K003,1,12,Don Juan,"Strauss, R.",NA,1888,Klassik,Romantik,9.90,15.42,7.80,16.30,23.78,2.89,7.18,15.01,15.63,28.53,20.73,8.86,,0.07,0.17,0.05,0.13,0.22,0.08,0.05,0.15,0.08,0.13,0.11,0.06,2.83,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.30,0.32,0.19,0.22,0.26,0.77,0.30,0.32,0.19,0.22,0.26,0.77
K0031,7,30,Overture - Marriage Of Figaro,Mozart,NA,1786,Klassik,Klassik,27.31,22.06,6.95,15.89,24.85,0.82,6.18,31.20,36.74,35.02,37.45,6.49,,0.19,0.16,0.05,0.12,0.15,0.01,0.03,0.27,0.27,0.14,0.27,0.03,3.47,,0.72,0.71,0.70,0.68,0.86,0.96,0.58,0.58,0.61,0.61,0.82,0.87,0.78,0.78,0.79,0.79,0.92,0.96
K004,1,12,Midsommarvaka,Alfvén,NA,1903,Klassik,Romantik,22.31,20.75,21.45,5.42,26.17,0.00,2.60,10.39,17.02,32.29,21.82,2.44,,0.15,0.14,0.12,0.04,0.23,0.00,0.02,0.08,0.11,0.14,0.10,0.01,2.25,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.40,0.41,0.43,0.44,0.69,0.91,0.40,0.41,0.43,0.44,0.69,0.91
K006,2,11,Wilhelm Tell (Ouvertüre),Rossini,NA,1829,Klassik,Romantik,18.52,14.73,10.74,9.49,4.53,6.18,2.24,33.39,37.43,29.03,42.38,7.31,,0.08,0.09,0.06,0.05,0.02,0.06,0.02,0.20,0.17,0.06,0.18,0.03,3.91,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.50,0.49,0.51,0.50,0.76,0.92,0.50,0.49,0.51,0.50,0.76,0.92
K007,2,11,Fürst Igor (Chorus),Borodin,NA,1890,Klassik,Romantik,12.62,20.57,10.04,14.07,25.06,4.97,0.00,5.29,16.65,37.71,17.09,4.19,,0.05,0.11,0.06,0.09,0.18,0.03,0.00,0.04,0.06,0.09,0.05,0.01,2.09,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.15,0.16,0.20,0.20,0.42,0.94,0.15,0.16,0.20,0.20,0.42,0.94
K008,2,12,Gremin's Aria (Onegin),Tschaikowski,NA,1878,Klassik,Romantik,14.99,12.60,9.15,8.18,20.77,3.33,8.40,8.05,7.58,27.67,10.72,8.10,,0.07,0.07,0.05,0.08,0.13,0.03,0.07,0.03,0.06,0.08,0.05,0.05,2.33,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.15,-0.04,0.25,0.06,0.01,0.78,0.15,-0.04,0.25,0.06,0.01,0.78
K009,2,11,"Kol Nidrei, Adagio for Cello and Orchestra, op. 47",Bruch,NA,1880,Klassik,Romantik,4.19,12.58,9.91,12.90,17.98,5.68,3.00,3.76,10.38,25.39,12.86,7.07,,0.02,0.06,0.06,0.07,0.15,0.06,0.02,0.02,0.06,0.07,0.04,0.03,2.18,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.42,0.32,0.32,0.18,-0.25,0.63,0.42,0.32,0.32,0.18,-0.25,0.63
K010,2,12,Concerto for Piano n°1 in e Minor. Second movement. Larghetto,Chopin,NA,1830,Klassik,Romantik,10.45,14.14,23.90,22.87,48.16,5.67,0.00,4.05,9.93,38.88,9.39,4.78,,0.04,0.08,0.17,0.15,0.35,0.06,0.00,0.02,0.06,0.15,0.04,0.02,2.00,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.64,0.65,0.69,0.70,0.87,0.94,0.64,0.65,0.69,0.70,0.87,0.94
K0100,33,27,"Tristan & Isolde, Liebestod",Wagner,NA,1865,Klassik,Romantik,14.38,8.56,2.60,5.51,1.82,1.36,20.99,10.61,13.31,15.97,16.11,19.17,,0.12,0.07,0.02,0.07,0.01,0.04,0.19,0.10,0.07,0.06,0.08,0.13,1.30,,0.55,0.54,0.53,0.50,0.75,0.28,0.52,0.46,0.56,0.47,0.43,-18.46,0.68,0.63,0.65,0.55,0.80,-2.73
K011,3,33,Walzer (Onegin),Tschaikowski,NA,1878,Klassik,Romantik,15.46,6.65,7.51,5.68,16.47,0.00,6.05,21.51,38.31,25.68,36.01,5.56,,0.08,0.04,0.04,0.04,0.10,0.00,0.04,0.16,0.35,0.06,0.27,0.03,1.52,,0.85,0.84,0.85,0.85,0.87,0.92,0.67,0.68,0.67,0.68,0.85,0.92,0.87,0.87,0.87,0.87,0.92,0.96
K012,3,33,9. Sinfonie (II. Largo),Dvorák,NA,1893,Klassik,Romantik,20.49,21.14,29.18,40.71,33.82,20.06,3.51,4.31,6.52,39.59,9.69,16.39,,0.12,0.14,0.21,0.37,0.35,0.18,0.03,0.04,0.04,0.22,0.04,0.09,2.91,,0.83,0.83,0.80,0.80,0.91,0.95,0.61,0.59,0.57,0.55,0.77,0.85,0.84,0.84,0.82,0.82,0.92,0.96
K013,3,33,Requiem,Mozart,NA,1791,Klassik,Klassik,23.17,17.94,9.58,20.46,12.41,11.93,17.08,10.61,7.69,31.81,11.93,22.06,,0.18,0.13,0.07,0.16,0.08,0.11,0.15,0.07,0.06,0.12,0.06,0.13,2.94,,0.57,0.56,0.46,0.47,0.57,0.81,0.44,0.41,0.45,0.43,0.05,0.76,0.63,0.61,0.58,0.57,0.53,0.89
K014,3,34,"Coppelia. Ballet in 3 Acts. First act, prélude",Delibes,NA,1870,Klassik,Romantik,18.40,17.35,3.76,5.75,18.70,0.75,5.19,25.20,38.40,27.53,36.97,5.36,,0.12,0.10,0.02,0.04,0.11,0.01,0.04,0.24,0.37,0.08,0.31,0.03,1.88,,0.86,0.86,0.86,0.86,0.93,0.95,0.70,0.70,0.69,0.68,0.82,0.92,0.87,0.88,0.88,0.88,0.93,0.96
K015,3,34,"The Planets, op. 32. Mars",Holst,NA,1914,Klassik,Romantik,20.23,18.96,3.14,5.89,4.53,0.29,33.16,15.96,16.34,25.22,20.17,28.86,,0.11,0.09,0.02,0.06,0.03,0.01,0.31,0.16,0.08,0.06,0.12,0.20,1.74,,0.80,0.79,0.80,0.80,0.89,0.58,0.63,0.63,0.68,0.69,0.75,-4.88,0.84,0.84,0.85,0.85,0.91,0.36
K016,4,27,Die Zauberflöte,Mozart,NA,1791,Klassik,Klassik,12.52,15.32,11.57,9.64,15.75,0.00,7.00,4.41,15.89,21.60,16.78,6.42,,0.10,0.12,0.09,0.08,0.16,0.00,0.04,0.03,0.15,0.11,0.09,0.03,1.78,,0.40,0.41,0.33,0.36,0.68,0.55,0.45,0.43,0.40,0.38,0.56,0.71,0.51,0.51,0.45,0.46,0.71,0.81
K017,4,28,Romance sans Paroles,Fauré,NA,1880,Klassik,Impressionismus,12.65,15.02,29.32,23.11,38.24,4.56,1.11,1.48,7.93,34.41,8.51,3.84,,0.10,0.10,0.25,0.21,0.36,0.05,0.01,0.01,0.06,0.20,0.04,0.03,1.32,,0.74,0.74,0.77,0.77,0.92,0.97,0.62,0.61,0.61,0.60,0.84,0.90,0.82,0.81,0.81,0.81,0.94,0.97
K018,4,28,Risonanze,Malipiero,NA,1918,Klassik,(Spät-)romantik,16.70,27.08,12.18,19.57,8.40,6.38,12.59,24.49,14.87,33.30,27.37,14.88,,0.10,0.17,0.07,0.19,0.05,0.05,0.08,0.21,0.07,0.12,0.13,0.07,2.46,,0.52,0.50,0.52,0.51,0.51,0.86,0.45,0.43,0.42,0.41,0.34,0.48,0.68,0.66,0.66,0.65,0.68,0.87
K019,4,28,Bénédiction de Dieu Dans la Solitude,Liszt,NA,1847,Klassik,Romantik,13.99,17.97,24.85,28.93,43.98,0.00,4.50,3.46,6.23,37.74,8.82,4.21,,0.10,0.13,0.24,0.25,0.40,0.00,0.04,0.02,0.04,0.21,0.03,0.02,1.43,,0.78,0.78,0.79,0.80,0.92,0.97,0.64,0.65,0.66,0.67,0.88,0.93,0.84,0.84,0.84,0.85,0.95,0.98
K020,4,27,"Song Without Words, op. 19, No 1",Mendelssohn,NA,1832,Klassik,Romantik,16.71,14.52,29.91,21.88,36.24,3.40,0.73,2.42,10.57,35.17,9.73,2.70,,0.13,0.08,0.24,0.21,0.31,0.05,0.01,0.02,0.07,0.19,0.05,0.02,1.33,,0.79,0.80,0.80,0.80,0.89,0.97,0.62,0.63,0.61,0.62,0.86,0.97,0.83,0.83,0.82,0.83,0.93,0.98
K021,5,28,Eine kleine Nachtmusik: First movement,Mozart,NA,1787,Klassik,Klassik,21.72,19.33,9.47,10.38,24.51,0.00,4.07,15.53,40.69,32.33,35.67,3.73,,0.14,0.10,0.05,0.07,0.17,0.00,0.05,0.16,0.39,0.11,0.29,0.03,3.25,,0.83,0.83,0.84,0.84,0.91,0.97,0.55,0.57,0.59,0.59,0.79,0.90,0.84,0.85,0.85,0.85,0.92,0.97
K022,5,28,Hänsel und Gretel (Ouvertüre),Humperdinck,NA,1893,Klassik,Romantik,20.42,11.53,27.09,23.98,34.68,1.29,4.50,5.07,11.56,34.21,14.97,5.30,,0.13,0.07,0.20,0.17,0.28,0.01,0.02,0.04,0.07,0.16,0.05,0.02,1.54,,0.66,0.66,0.64,0.64,0.87,0.94,0.61,0.62,0.57,0.59,0.76,0.87,0.75,0.75,0.75,0.75,0.91,0.95
K023,5,28,Feuervogel Suite,Strawinsky,NA,1910,Klassik,Expressionismus,23.85,32.16,12.51,15.17,6.94,6.39,13.38,20.46,12.47,30.76,24.45,15.17,,0.17,0.29,0.07,0.16,0.06,0.06,0.10,0.17,0.08,0.15,0.12,0.09,2.96,,0.66,0.65,0.60,0.59,0.74,0.85,0.33,0.35,0.35,0.36,0.64,0.46,0.67,0.66,0.59,0.58,0.80,0.85
K024,5,28,Scaramouche: Brazileira,Milhaud,NA,1936,Klassik,Moderne,21.46,16.00,9.86,10.07,14.75,0.00,8.76,19.50,32.88,29.27,30.75,7.85,,0.17,0.10,0.05,0.06,0.09,0.00,0.11,0.11,0.35,0.10,0.24,0.07,1.64,,0.76,0.76,0.75,0.76,0.78,0.87,0.41,0.43,0.43,0.44,0.69,0.88,0.76,0.77,0.76,0.77,0.86,0.94
K025,5,28,Carnival of Animals: Finale,Saint-Saens,NA,1886,Klassik,Romantik,23.26,15.54,5.25,12.86,11.13,0.00,8.62,20.42,33.93,26.63,33.93,7.94,,0.16,0.07,0.04,0.10,0.06,0.00,0.06,0.14,0.34,0.09,0.25,0.04,1.93,,0.80,0.80,0.80,0.80,0.86,0.88,0.52,0.53,0.53,0.55,0.73,0.87,0.80,0.80,0.80,0.80,0.87,0.93
K029,7,30,Impromptu No. 2,Chopin,NA,1840,Klassik,Romantik,16.91,14.87,24.59,23.26,43.46,5.96,1.82,4.30,14.18,37.17,13.06,4.70,,0.14,0.09,0.21,0.22,0.38,0.07,0.01,0.02,0.08,0.20,0.05,0.03,1.83,,0.82,0.83,0.84,0.85,0.94,0.97,0.63,0.63,0.63,0.64,0.66,0.88,0.85,0.85,0.86,0.87,0.93,0.97
K030,7,30,Mondscheinsonate,Beethoven,NA,1801,Klassik,Klassik,22.84,20.41,13.15,26.94,30.57,21.59,7.17,4.28,10.54,35.97,10.56,20.11,,0.13,0.11,0.10,0.25,0.27,0.24,0.05,0.02,0.04,0.17,0.03,0.13,2.90,,0.74,0.74,0.72,0.73,0.83,0.95,0.43,0.41,0.38,0.35,0.40,0.63,0.76,0.76,0.74,0.74,0.80,0.93
K031,8,31,"9. Symphonie, 2. Satz (Toscanini)",Beethoven,NA,1824,Klassik,Klassik,6.95,13.29,1.14,9.68,8.64,0.00,14.75,23.31,27.03,25.30,32.55,13.31,,0.05,0.09,0.01,0.06,0.05,0.00,0.14,0.22,0.16,0.05,0.19,0.09,1.87,,0.67,0.68,0.66,0.68,0.84,0.64,0.43,0.42,0.36,0.34,0.69,0.87,0.74,0.74,0.72,0.72,0.87,0.88
K032,8,31,Clair de lune,Debussy,NA,1905,Klassik,Impressionismus,15.12,14.75,19.58,27.66,26.46,6.45,4.37,3.48,3.48,32.07,5.52,9.48,,0.08,0.11,0.14,0.32,0.27,0.05,0.04,0.02,0.03,0.17,0.02,0.04,2.61,,0.75,0.75,0.72,0.73,0.88,0.92,0.60,0.61,0.62,0.63,0.68,0.90,0.80,0.80,0.79,0.79,0.88,0.96
K033,8,31,Symphony No.5 in C minor Op.67,Beethoven,NA,1808,Klassik,Klassik,14.81,18.32,5.64,11.87,7.31,1.53,25.12,36.01,25.09,24.24,34.22,23.33,,0.11,0.15,0.05,0.10,0.07,0.01,0.15,0.36,0.19,0.10,0.26,0.10,4.03,,0.76,0.76,0.74,0.74,0.92,0.68,0.41,0.36,0.44,0.40,0.54,-2.06,0.78,0.78,0.76,0.76,0.90,0.56
K034,9,26,Schwanensee,Tschaikowski,NA,1877,Klassik,Romantik,21.49,23.08,18.85,18.60,8.31,8.33,5.98,16.66,18.87,26.80,22.31,8.26,,0.18,0.18,0.16,0.19,0.07,0.05,0.03,0.14,0.12,0.16,0.13,0.04,3.23,,0.37,0.33,0.48,0.45,0.59,0.82,0.43,0.44,0.39,0.41,0.42,0.85,0.56,0.54,0.59,0.59,0.71,0.92
K035,9,26,Prélude à l’après-midi d’un faune,Debussy,NA,1894,Klassik,Impressionismus,20.10,14.42,12.22,24.22,22.03,6.69,5.30,2.47,11.03,31.57,11.32,10.53,,0.12,0.10,0.08,0.17,0.20,0.05,0.04,0.02,0.06,0.13,0.05,0.04,1.69,,0.39,0.41,0.45,0.46,0.67,0.56,0.33,0.34,0.27,0.28,0.52,0.91,0.60,0.60,0.57,0.58,0.77,0.92
K036,9,26,Etüde Arc en Ciel,Ligeti,NA,1985,Klassik,Neue Musik,13.22,15.67,9.01,16.95,16.30,6.39,20.08,0.72,3.66,23.15,4.07,20.58,,0.07,0.11,0.07,0.14,0.14,0.08,0.16,0.01,0.02,0.10,0.01,0.13,1.39,,0.41,0.42,0.24,0.26,0.59,0.76,0.19,0.20,0.15,0.17,0.49,0.80,0.55,0.55,0.43,0.44,0.73,0.88
K037,10,29,Sinfonie in B-Dur (HWV 339),Händel,NA,1709,Klassik,Barock,14.65,7.83,6.77,2.97,6.67,0.00,8.83,19.90,28.09,19.32,30.16,8.07,,0.09,0.05,0.04,0.03,0.05,0.00,0.07,0.16,0.24,0.05,0.20,0.04,1.90,,0.62,0.63,0.59,0.59,0.87,0.75,0.53,0.54,0.56,0.57,0.82,0.93,0.70,0.70,0.69,0.69,0.88,0.90
K038,10,29,"6. Symphony, Andante, (Karajan)",Mahler,NA,1904,Klassik,Romantik,14.35,11.25,13.86,12.81,20.58,5.10,3.17,6.93,6.14,28.37,10.79,6.33,,0.13,0.10,0.14,0.13,0.20,0.03,0.03,0.04,0.04,0.14,0.04,0.03,1.59,,0.00,0.01,-0.08,-0.08,0.52,0.81,0.55,0.55,0.56,0.56,0.68,0.93,0.56,0.55,0.58,0.57,0.66,0.94
K039,10,28,Quatuor pour la fin du Temps,Messiaen,NA,1941,Klassik,Moderne,10.19,14.68,6.83,8.68,5.61,19.53,20.55,1.03,4.26,19.56,3.93,27.87,,0.07,0.10,0.05,0.06,0.05,0.17,0.18,0.01,0.03,0.07,0.02,0.17,1.50,,0.31,0.29,0.32,0.31,0.57,0.44,0.68,0.70,0.72,0.73,0.78,0.94,0.67,0.69,0.71,0.72,0.79,0.93
K040,11,28,Overtüre - Die Entführung aus dem Serail,Mozart,NA,1782,Klassik,Klassik,16.84,15.53,5.44,9.58,9.51,0.48,4.60,26.94,27.70,25.80,31.41,4.68,,0.08,0.09,0.03,0.06,0.06,0.01,0.04,0.16,0.22,0.07,0.20,0.03,2.00,,0.71,0.70,0.75,0.75,0.87,0.90,0.25,0.22,0.31,0.29,0.62,0.91,0.69,0.68,0.73,0.72,0.88,0.95
K041,11,28,Sinfonie Nr. 6,Beethoven,NA,1808,Klassik,Kassik,19.39,13.44,14.49,8.08,16.65,2.38,1.62,9.08,17.08,29.55,18.12,3.46,,0.11,0.09,0.11,0.07,0.11,0.01,0.02,0.05,0.12,0.10,0.09,0.02,1.64,,0.12,0.13,0.06,0.04,0.64,0.82,0.31,0.29,0.27,0.28,0.43,0.95,0.49,0.49,0.42,0.43,0.73,0.96
K042,11,28,Laudate Dominum,Mozart,NA,1780,Klassik,Klassik,15.10,21.03,3.43,2.55,8.07,2.31,18.18,17.30,12.94,25.60,21.57,16.72,,0.11,0.13,0.01,0.02,0.05,0.01,0.11,0.18,0.06,0.07,0.11,0.08,1.50,,0.50,0.53,0.49,0.50,0.67,0.55,0.32,0.32,0.38,0.38,0.60,-3.92,0.49,0.51,0.47,0.48,0.77,0.12
K043,12,27,Etüde Op. 25 No. 1,Chopin,NA,1837,Klassik,Romantik,16.16,17.79,22.35,16.93,21.58,3.33,0.67,6.33,12.03,33.54,12.01,3.44,,0.16,0.11,0.14,0.17,0.17,0.03,0.01,0.05,0.07,0.15,0.06,0.01,1.85,,0.60,0.60,0.60,0.60,0.78,0.93,0.44,0.45,0.43,0.45,0.50,0.93,0.66,0.66,0.62,0.62,0.81,0.97
K044,12,27,"Concerto a cinque No. 2, Op. 9",Albinoni,NA,1722,Klassik,Barock,16.95,14.01,14.84,18.89,20.73,2.36,4.18,13.64,18.20,33.01,22.59,5.43,,0.12,0.10,0.07,0.17,0.16,0.05,0.02,0.08,0.12,0.12,0.10,0.03,1.89,,0.53,0.51,0.43,0.41,0.45,0.80,0.44,0.44,0.45,0.46,0.47,0.92,0.62,0.61,0.55,0.54,0.63,0.94
K045,12,27,Klaviersonate Nr. 3 (Zwei Klaviere),Brahms,NA,1854,Klassik,Romantik,10.50,14.07,10.57,8.05,11.81,5.93,12.65,20.61,11.76,23.16,19.65,16.29,,0.07,0.10,0.06,0.07,0.09,0.05,0.10,0.13,0.09,0.08,0.11,0.08,1.96,,0.53,0.55,0.36,0.41,-0.03,-2.12,0.18,0.19,0.27,0.29,0.13,-1.61,0.55,0.57,0.47,0.49,0.19,-0.43
K046,13,31,Der Messias (Hallelujah),Händel,NA,1741,Klassik,Barock,10.01,11.02,8.32,8.27,11.97,3.96,9.78,19.24,7.62,22.95,20.88,12.43,,0.07,0.09,0.06,0.06,0.08,0.02,0.07,0.17,0.05,0.07,0.11,0.05,1.94,,0.43,0.45,0.40,0.42,0.56,0.21,0.21,0.22,0.07,0.07,0.32,0.47,0.39,0.39,0.30,0.26,0.40,0.61
K047,13,31,Missa Brevis (Kyrie),Palestrina,NA,1570,Klassik,Renaissance,14.04,21.83,12.33,16.12,27.02,6.56,6.67,6.54,2.45,30.50,8.24,11.47,,0.09,0.13,0.06,0.14,0.26,0.04,0.06,0.03,0.02,0.13,0.02,0.05,2.07,,0.35,0.39,0.31,0.35,0.63,0.85,0.65,0.66,0.55,0.57,0.70,0.86,0.69,0.70,0.61,0.63,0.83,0.93
K048,13,31,"Klavierquartett Nr. 3 in C-Moll, 3. Satz",Brahms,NA,1875,Klassik,Romantik,15.38,6.93,21.36,25.04,24.47,11.91,10.74,0.00,1.56,33.03,1.46,17.39,,0.09,0.04,0.16,0.25,0.22,0.12,0.07,0.00,0.01,0.14,0.01,0.09,1.74,,0.72,0.73,0.73,0.73,0.80,0.96,0.49,0.49,0.42,0.43,0.71,0.90,0.76,0.77,0.76,0.76,0.86,0.97
K049,14,44,"Symphony, 1 Scherzo",Tschaikowski,NA,1866,Klassik,Romantik,11.38,13.16,6.19,8.66,12.04,0.00,12.06,11.73,21.09,22.19,21.77,10.77,,0.09,0.11,0.05,0.09,0.07,0.00,0.14,0.10,0.18,0.08,0.14,0.09,1.91,,0.70,0.70,0.72,0.73,0.78,0.73,0.15,0.16,0.14,0.14,0.10,0.46,0.66,0.66,0.64,0.64,0.80,0.81
