,,,Songinformation,,,,,,GEMS-Dimensionen,,,,,,,,,GEMS-Faktoren,,,,Differenziertheit bei der Bewertung der Songs,,,,,,,,,,,,,,"ICC für Rater*innen, welche per Mail gewonnen wurden",,,,,,"ICC für Rater*innen, welche durch Prolific gewonnen wurden",,,,,,ICC über alle rater*innen hinweg,,,,,
Code,package,Anzahl der Rater*innen,Title,Artist,Featuring,Erscheinungsjahr,Genre,Subgenre,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,mittlere Bekanntheit des Songs bie den Ratern,,ICC_SEL_47_MAIL,ICC_SEL_45_MAIL,ICC_INT_47_MAIL,ICC_INT_45_MAIL,ICC_DIM_MAIL,ICC_FAC_MAIL,ICC_SEL_47_PROLIFIC,ICC_SEL_45_PROLIFIC,ICC_INT_47_PROLIFIC,ICC_INT_45_PROLIFIC,ICC_DIM_PROLIFIC,ICC_FAC_PROLIFIC,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H019,7,30,Ein Affe und ein Pferd,K.I.Z.,NA,2013,Hip Hop,NA,7.31,4.99,4.32,2.45,6.83,0.00,26.66,20.86,21.43,16.94,25.26,23.53,,0.03,0.03,0.02,0.03,0.04,0.00,0.25,0.14,0.14,0.03,0.14,0.15,2.53,,0.75,0.74,0.73,0.72,0.88,0.76,0.49,0.50,0.51,0.51,0.80,0.72,0.72,0.74,0.72,0.73,0.88,0.01
H020,7,30,Around The Way Girl,LL Cool J,NA,1990,Hip Hop,Pop,11.41,5.45,11.05,8.03,20.32,1.13,3.79,10.46,26.31,25.68,26.19,4.46,,0.05,0.03,0.09,0.08,0.18,0.02,0.03,0.05,0.19,0.08,0.13,0.03,1.90,,0.63,0.62,0.59,0.58,0.82,0.81,0.57,0.59,0.58,0.59,0.71,0.91,0.72,0.71,0.71,0.70,0.84,0.94
H021,7,30,Gangsta's Paradise,Coolio,NA,1995,Hip Hop,NA,18.56,9.36,1.20,15.15,7.30,0.69,5.71,33.96,41.13,24.84,40.99,5.92,,0.11,0.05,0.02,0.13,0.04,0.01,0.05,0.27,0.31,0.07,0.29,0.03,3.97,,0.74,0.73,0.76,0.76,0.91,0.93,0.67,0.67,0.73,0.72,0.89,0.94,0.82,0.82,0.84,0.84,0.95,0.97
H022,8,31,Bodak Yellow,Cardi B,NA,2017,Hip Hop,NA,6.40,4.70,2.57,0.99,4.34,0.00,9.67,25.86,28.91,13.16,33.25,8.91,,0.02,0.02,0.01,0.01,0.03,0.00,0.08,0.20,0.24,0.02,0.22,0.05,3.32,,0.69,0.70,0.64,0.65,0.87,0.76,0.73,0.72,0.68,0.68,0.88,0.95,0.80,0.81,0.77,0.79,0.93,0.93
H023,8,32,A.D.I.D.A.S.,Killer Mike,NA,2003,Hip Hop,"Soll laut Youtube Pop sein, aber für mich ist das eher Hip Hop/Rap",10.76,0.93,1.35,3.98,10.01,1.38,8.17,5.44,24.29,17.89,22.44,7.84,,0.04,0.01,0.01,0.02,0.06,0.01,0.07,0.04,0.23,0.03,0.15,0.05,1.59,,0.73,0.69,0.73,0.64,0.77,-0.45,0.73,0.75,0.71,0.74,0.81,0.90,0.82,0.82,0.81,0.80,0.87,0.80
H024,8,31,Füchse,Beginner,Samy Deluxe,1998,Hip Hop,NA,11.00,8.61,1.70,4.70,17.55,3.03,6.10,10.16,26.09,22.96,24.89,8.01,,0.05,0.04,0.01,0.03,0.12,0.03,0.06,0.06,0.23,0.05,0.15,0.05,1.71,,0.67,0.67,0.53,0.53,0.78,0.68,0.56,0.57,0.47,0.49,0.68,0.73,0.75,0.75,0.68,0.68,0.86,0.86
H025,9,27,Let 'Em Come,Scroobius Pip,NA,2011,Hip Hop,"Hip-Hop/Rap, Alternative/Indie",4.69,8.36,1.91,0.90,1.67,0.00,28.37,18.47,10.92,9.83,16.81,25.86,,0.03,0.04,0.01,0.01,0.01,0.00,0.20,0.16,0.09,0.02,0.13,0.13,1.33,,0.68,0.69,0.67,0.69,0.88,0.82,0.47,0.50,0.48,0.52,0.77,-0.70,0.71,0.73,0.67,0.70,0.90,0.70
H026,9,27,Fuffies Im Club,SIDO,NA,2004,Hip Hop,NA,4.13,9.25,2.18,0.86,3.91,0.99,19.37,7.36,16.90,11.70,15.89,17.66,,0.02,0.04,0.02,0.01,0.02,0.01,0.12,0.04,0.12,0.02,0.08,0.08,1.52,,0.62,0.33,0.69,0.36,0.77,0.36,0.41,0.45,0.37,0.40,0.57,-13.60,0.61,0.54,0.62,0.52,0.82,-0.92
H027,9,27,Summer Friends,Chance The Rapper,NA,2016,Hip Hop,NA,1.32,4.04,5.33,4.14,11.39,0.00,11.17,2.97,15.17,14.10,14.72,10.35,,0.01,0.03,0.03,0.04,0.09,0.00,0.07,0.02,0.11,0.04,0.07,0.04,1.30,,0.49,0.23,0.41,0.17,0.67,0.28,0.60,0.49,0.54,0.44,0.48,-9.43,0.74,0.59,0.67,0.49,0.72,-1.55
H028,10,29,Lane Boy,Twentyone Pilots,NA,2015,Hip Hop,Alternative,10.76,7.93,0.64,1.53,7.08,2.35,4.43,20.92,16.68,18.59,22.98,6.13,,0.06,0.04,0.01,0.02,0.03,0.02,0.03,0.15,0.14,0.03,0.15,0.03,1.90,,0.51,0.49,0.52,0.50,0.62,0.54,0.62,0.63,0.60,0.62,0.82,0.87,0.69,0.69,0.69,0.69,0.84,0.87
